BOROUGH_NAME,BUILDING CLASS CATEGORY,ZIP CODE,AGE,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,RESIDENTIAL UNITS,COMMERCIAL UNITS
Staten Island,01 ONE FAMILY DWELLINGS,10304.0,55.0,1.0,16680.0,6595.0,1.0,0.0
Queens,02 TWO FAMILY DWELLINGS,11412.0,85.0,2.0,4000.0,2082.0,2.0,0.0
Queens,02 TWO FAMILY DWELLINGS,11412.0,95.0,2.0,1808.0,1152.0,2.0,0.0
Bronx,05 TAX CLASS 1 VACANT LAND,10470.0,,,4500.0,,0.0,0.0
Manhattan,07 RENTALS - WALKUP APARTMENTS,10036.0,100.0,15.0,2750.0,11455.0,15.0,0.0
Queens,02 TWO FAMILY DWELLINGS,11364.0,55.0,3.0,2584.0,3374.0,2.0,1.0
Queens,01 ONE FAMILY DWELLINGS,11412.0,100.0,1.0,2100.0,1008.0,1.0,0.0
Brooklyn,02 TWO FAMILY DWELLINGS,11210.0,105.0,2.0,3000.0,1609.0,2.0,0.0
Queens,01 ONE FAMILY DWELLINGS,11379.0,75.0,1.0,1800.0,1324.0,1.0,0.0
Brooklyn,03 THREE FAMILY DWELLINGS,11238.0,105.0,3.0,1958.0,1824.0,3.0,0.0
Brooklyn,01 ONE FAMILY DWELLINGS,11203.0,105.0,1.0,2000.0,1248.0,1.0,0.0
Brooklyn,01 ONE FAMILY DWELLINGS,11236.0,85.0,1.0,1440.0,992.0,1.0,0.0
Queens,01 ONE FAMILY DWELLINGS,11434.0,95.0,1.0,4000.0,1058.0,1.0,0.0
Queens,02 TWO FAMILY DWELLINGS,11417.0,65.0,2.0,3703.0,2452.0,2.0,0.0
Queens,01 ONE FAMILY DWELLINGS,11435.0,105.0,1.0,2500.0,1434.0,1.0,0.0
Manhattan,08 RENTALS - ELEVATOR APARTMENTS,10282.0,23.0,294.0,16653.0,356786.0,293.0,1.0
Brooklyn,01 ONE FAMILY DWELLINGS,11229.0,100.0,1.0,2567.0,2592.0,1.0,0.0
Queens,03 THREE FAMILY DWELLINGS,11428.0,100.0,3.0,3036.0,1580.0,3.0,0.0
Queens,02 TWO FAMILY DWELLINGS,11412.0,80.0,2.0,5000.0,1129.0,2.0,0.0
Brooklyn,01 ONE FAMILY DWELLINGS,11230.0,95.0,1.0,1700.0,1548.0,1.0,0.0
Brooklyn,02 TWO FAMILY DWELLINGS,11222.0,124.0,2.0,1667.0,1968.0,2.0,0.0
Staten Island,01 ONE FAMILY DWELLINGS,10305.0,80.0,1.0,1950.0,1600.0,1.0,0.0
Bronx,02 TWO FAMILY DWELLINGS,10472.0,105.0,2.0,2500.0,2480.0,2.0,0.0
Brooklyn,02 TWO FAMILY DWELLINGS,11207.0,115.0,2.0,6000.0,3063.0,2.0,0.0
Staten Island,02 TWO FAMILY DWELLINGS,10301.0,93.0,2.0,3000.0,2430.0,2.0,0.0
Bronx,03 THREE FAMILY DWELLINGS,10465.0,65.0,3.0,2753.0,2477.0,3.0,0.0
Brooklyn,01 ONE FAMILY DWELLINGS,11234.0,2.0,1.0,2450.0,2203.0,1.0,0.0
Staten Island,01 ONE FAMILY DWELLINGS,10312.0,55.0,1.0,5111.0,1736.0,1.0,0.0
Queens,01 ONE FAMILY DWELLINGS,11436.0,95.0,1.0,2500.0,1056.0,1.0,0.0
Bronx,02 TWO FAMILY DWELLINGS,10469.0,80.0,2.0,3600.0,1680.0,2.0,0.0
Queens,30 WAREHOUSES,11101.0,96.0,1.0,17000.0,17000.0,0.0,1.0
Bronx,01 ONE FAMILY DWELLINGS,10469.0,90.0,1.0,1900.0,1795.0,1.0,0.0
Brooklyn,14 RENTALS - 4-10 UNIT,11225.0,94.0,7.0,3165.0,7430.0,5.0,2.0
Brooklyn,07 RENTALS - WALKUP APARTMENTS,11237.0,94.0,4.0,2500.0,4500.0,4.0,0.0
Brooklyn,02 TWO FAMILY DWELLINGS,11233.0,126.0,2.0,1406.0,2185.0,2.0,0.0
Bronx,05 TAX CLASS 1 VACANT LAND,10468.0,,,5000.0,,0.0,0.0
Brooklyn,07 RENTALS - WALKUP APARTMENTS,11238.0,120.0,16.0,4400.0,16720.0,16.0,0.0
Queens,01 ONE FAMILY DWELLINGS,11375.0,115.0,1.0,8755.0,3103.0,1.0,0.0
Brooklyn,01 ONE FAMILY DWELLINGS,11203.0,100.0,1.0,1983.0,1410.0,1.0,0.0
Brooklyn,01 ONE FAMILY DWELLINGS,11224.0,36.0,1.0,1652.0,1344.0,1.0,0.0
Staten Island,01 ONE FAMILY DWELLINGS,10310.0,75.0,1.0,9450.0,792.0,1.0,0.0
Staten Island,02 TWO FAMILY DWELLINGS,10301.0,100.0,2.0,5000.0,2250.0,2.0,0.0
Queens,01 ONE FAMILY DWELLINGS,11375.0,80.0,1.0,1800.0,1152.0,1.0,0.0
Brooklyn,01 ONE FAMILY DWELLINGS,11213.0,100.0,1.0,1950.0,2062.0,1.0,0.0
Queens,03 THREE FAMILY DWELLINGS,11691.0,19.0,3.0,2474.0,2760.0,3.0,0.0
Queens,01 ONE FAMILY DWELLINGS,11369.0,100.0,1.0,2800.0,1216.0,1.0,0.0
Queens,02 TWO FAMILY DWELLINGS,11355.0,24.0,2.0,2100.0,1900.0,2.0,0.0
Staten Island,01 ONE FAMILY DWELLINGS,10310.0,126.0,1.0,9440.0,2385.0,1.0,0.0
Brooklyn,03 THREE FAMILY DWELLINGS,11201.0,126.0,3.0,2621.0,4500.0,3.0,0.0
Queens,22 STORE BUILDINGS,11358.0,17.0,4.0,2500.0,5270.0,1.0,3.0
Queens,07 RENTALS - WALKUP APARTMENTS,11369.0,95.0,4.0,2435.0,2560.0,4.0,0.0
Staten Island,01 ONE FAMILY DWELLINGS,10305.0,23.0,1.0,2267.0,1160.0,1.0,0.0
Bronx,03 THREE FAMILY DWELLINGS,10457.0,105.0,3.0,3596.0,3492.0,3.0,0.0
Queens,01 ONE FAMILY DWELLINGS,11434.0,100.0,1.0,2400.0,1280.0,1.0,0.0
Brooklyn,02 TWO FAMILY DWELLINGS,11235.0,70.0,2.0,1600.0,2110.0,2.0,0.0
Staten Island,02 TWO FAMILY DWELLINGS,10307.0,25.0,2.0,3034.0,2650.0,2.0,0.0
Brooklyn,01 ONE FAMILY DWELLINGS,11210.0,100.0,1.0,2000.0,1284.0,1.0,0.0
Bronx,02 TWO FAMILY DWELLINGS,10462.0,95.0,2.0,2265.0,2120.0,2.0,0.0
Staten Island,01 ONE FAMILY DWELLINGS,10304.0,70.0,1.0,5400.0,1008.0,1.0,0.0
Queens,02 TWO FAMILY DWELLINGS,11102.0,95.0,2.0,2935.0,2268.0,2.0,0.0
Manhattan,22 STORE BUILDINGS,10075.0,115.0,2.0,1196.0,2169.0,0.0,2.0
Brooklyn,03 THREE FAMILY DWELLINGS,11236.0,65.0,3.0,2380.0,2687.0,3.0,0.0
Brooklyn,01 ONE FAMILY DWELLINGS,11203.0,115.0,1.0,1123.0,1328.0,1.0,0.0
