BOROUGH_NAME,BUILDING CLASS CATEGORY,ZIP CODE,AGE,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,RESIDENTIAL UNITS,COMMERCIAL UNITS
Queens,01 ONE FAMILY DWELLINGS,11694.0,115.0,1.0,4000.0,1326.0,1.0,0.0
Bronx,02 TWO FAMILY DWELLINGS,10459.0,32.0,2.0,2100.0,1680.0,2.0,0.0
Brooklyn,02 TWO FAMILY DWELLINGS,11238.0,95.0,3.0,1332.0,2700.0,2.0,1.0
Queens,27 FACTORIES,11356.0,38.0,1.0,2154.0,2138.0,0.0,1.0
Bronx,02 TWO FAMILY DWELLINGS,10461.0,100.0,2.0,1863.0,1152.0,2.0,0.0
Bronx,01 ONE FAMILY DWELLINGS,10463.0,126.0,1.0,2650.0,940.0,1.0,0.0
Queens,11 SPECIAL CONDO BILLING LOTS,11354.0,9.0,1.0,85137.0,727.0,1.0,0.0
Brooklyn,02 TWO FAMILY DWELLINGS,11201.0,126.0,2.0,2250.0,4800.0,2.0,0.0
Brooklyn,02 TWO FAMILY DWELLINGS,11212.0,90.0,2.0,1800.0,1989.0,2.0,0.0
Staten Island,05 TAX CLASS 1 VACANT LAND,10314.0,,,1734.0,,0.0,0.0
Queens,01 ONE FAMILY DWELLINGS,11693.0,100.0,1.0,2280.0,1126.0,1.0,0.0
Brooklyn,30 WAREHOUSES,11232.0,65.0,1.0,9883.0,9880.0,0.0,1.0
Brooklyn,02 TWO FAMILY DWELLINGS,11234.0,95.0,2.0,2000.0,1260.0,2.0,0.0
Brooklyn,07 RENTALS - WALKUP APARTMENTS,11231.0,125.0,8.0,2250.0,5000.0,8.0,0.0
Staten Island,02 TWO FAMILY DWELLINGS,10314.0,45.0,2.0,3120.0,2092.0,2.0,0.0
Bronx,01 ONE FAMILY DWELLINGS,10469.0,94.0,1.0,2000.0,1400.0,1.0,0.0
Queens,02 TWO FAMILY DWELLINGS,11385.0,55.0,2.0,3161.0,2850.0,2.0,0.0
Queens,02 TWO FAMILY DWELLINGS,11356.0,3.0,2.0,2438.0,2001.0,2.0,0.0
Brooklyn,07 RENTALS - WALKUP APARTMENTS,11225.0,104.0,40.0,15147.0,41444.0,40.0,0.0
Queens,01 ONE FAMILY DWELLINGS,11421.0,124.0,1.0,1650.0,1112.0,1.0,0.0
Staten Island,01 ONE FAMILY DWELLINGS,10301.0,82.0,1.0,2000.0,1240.0,1.0,0.0
Bronx,02 TWO FAMILY DWELLINGS,10470.0,126.0,2.0,2583.0,1512.0,2.0,0.0
Manhattan,01 ONE FAMILY DWELLINGS,10023.0,125.0,1.0,2008.0,6956.0,1.0,0.0
Brooklyn,03 THREE FAMILY DWELLINGS,11235.0,70.0,3.0,3000.0,2860.0,3.0,0.0
Manhattan,26 OTHER HOTELS,10011.0,5.0,1.0,1812.0,10860.0,0.0,1.0
Queens,02 TWO FAMILY DWELLINGS,11419.0,105.0,2.0,4000.0,1936.0,2.0,0.0
Staten Island,01 ONE FAMILY DWELLINGS,10305.0,95.0,1.0,4360.0,1290.0,1.0,0.0
Staten Island,01 ONE FAMILY DWELLINGS,10314.0,85.0,1.0,4360.0,1060.0,1.0,0.0
Queens,22 STORE BUILDINGS,11356.0,95.0,1.0,2500.0,1250.0,0.0,1.0
Bronx,01 ONE FAMILY DWELLINGS,10468.0,124.0,1.0,1408.0,1528.0,1.0,0.0
Queens,07 RENTALS - WALKUP APARTMENTS,11377.0,102.0,6.0,3230.0,4980.0,6.0,0.0
Staten Island,01 ONE FAMILY DWELLINGS,10314.0,50.0,2.0,6100.0,2900.0,1.0,1.0
Staten Island,01 ONE FAMILY DWELLINGS,10304.0,100.0,1.0,3000.0,1280.0,1.0,0.0
Staten Island,01 ONE FAMILY DWELLINGS,10304.0,39.0,1.0,888.0,1248.0,1.0,0.0
Staten Island,01 ONE FAMILY DWELLINGS,10304.0,85.0,1.0,4230.0,1152.0,1.0,0.0
Brooklyn,02 TWO FAMILY DWELLINGS,11214.0,70.0,2.0,1641.0,1920.0,2.0,0.0
Bronx,02 TWO FAMILY DWELLINGS,10467.0,100.0,2.0,2381.0,1900.0,2.0,0.0
Brooklyn,02 TWO FAMILY DWELLINGS,11233.0,110.0,2.0,1625.0,1942.0,2.0,0.0
Manhattan,21 OFFICE BUILDINGS,10019.0,97.0,1.0,10041.0,88722.0,0.0,1.0
Queens,01 ONE FAMILY DWELLINGS,11364.0,95.0,1.0,2200.0,1629.0,1.0,0.0
Brooklyn,02 TWO FAMILY DWELLINGS,11209.0,94.0,3.0,2208.0,3654.0,2.0,1.0
Brooklyn,02 TWO FAMILY DWELLINGS,11214.0,97.0,3.0,2968.0,2700.0,2.0,1.0
Bronx,03 THREE FAMILY DWELLINGS,10453.0,32.0,3.0,2146.0,3000.0,3.0,0.0
Brooklyn,02 TWO FAMILY DWELLINGS,11219.0,105.0,2.0,1753.0,1708.0,2.0,0.0
Queens,01 ONE FAMILY DWELLINGS,11434.0,75.0,1.0,4000.0,1150.0,1.0,0.0
Staten Island,01 ONE FAMILY DWELLINGS,10312.0,14.0,1.0,2129.0,1552.0,1.0,0.0
Brooklyn,02 TWO FAMILY DWELLINGS,11238.0,126.0,2.0,2489.0,4124.0,2.0,0.0
Queens,03 THREE FAMILY DWELLINGS,11421.0,105.0,3.0,2000.0,1513.0,3.0,0.0
Staten Island,02 TWO FAMILY DWELLINGS,10305.0,60.0,2.0,4680.0,2340.0,2.0,0.0
Queens,01 ONE FAMILY DWELLINGS,11385.0,105.0,1.0,1704.0,1408.0,1.0,0.0
Bronx,01 ONE FAMILY DWELLINGS,10470.0,105.0,1.0,2500.0,1750.0,1.0,0.0
Brooklyn,02 TWO FAMILY DWELLINGS,11208.0,126.0,2.0,2000.0,2280.0,2.0,0.0
Brooklyn,01 ONE FAMILY DWELLINGS,11234.0,105.0,1.0,1701.0,868.0,1.0,0.0
Brooklyn,01 ONE FAMILY DWELLINGS,11230.0,105.0,1.0,2239.0,1120.0,1.0,0.0
Brooklyn,02 TWO FAMILY DWELLINGS,11215.0,120.0,2.0,2100.0,4472.0,2.0,0.0
Brooklyn,01 ONE FAMILY DWELLINGS,11230.0,115.0,1.0,4000.0,3150.0,1.0,0.0
Queens,01 ONE FAMILY DWELLINGS,11385.0,85.0,1.0,1829.0,1615.0,1.0,0.0
Queens,02 TWO FAMILY DWELLINGS,11378.0,65.0,2.0,2090.0,2365.0,2.0,0.0
Queens,07 RENTALS - WALKUP APARTMENTS,11368.0,37.0,4.0,2000.0,3230.0,4.0,0.0
Staten Island,01 ONE FAMILY DWELLINGS,10306.0,100.0,1.0,7300.0,1203.0,1.0,0.0
Brooklyn,02 TWO FAMILY DWELLINGS,11204.0,94.0,3.0,2000.0,3600.0,2.0,1.0
Brooklyn,29 COMMERCIAL GARAGES,11238.0,50.0,1.0,8282.0,7766.0,0.0,1.0
Queens,02 TWO FAMILY DWELLINGS,11433.0,65.0,2.0,4000.0,2064.0,2.0,0.0
Queens,01 ONE FAMILY DWELLINGS,11375.0,85.0,1.0,1508.0,1530.0,1.0,0.0
Queens,05 TAX CLASS 1 VACANT LAND,11357.0,,,10023.0,,0.0,0.0
Brooklyn,03 THREE FAMILY DWELLINGS,11208.0,105.0,3.0,3600.0,2560.0,3.0,0.0
Queens,01 ONE FAMILY DWELLINGS,11366.0,85.0,1.0,4000.0,1640.0,1.0,0.0
Queens,02 TWO FAMILY DWELLINGS,11379.0,70.0,2.0,2500.0,2160.0,2.0,0.0
Brooklyn,01 ONE FAMILY DWELLINGS,11219.0,105.0,2.0,2604.0,3600.0,1.0,1.0
Staten Island,01 ONE FAMILY DWELLINGS,10304.0,22.0,1.0,1875.0,1440.0,1.0,0.0
Brooklyn,07 RENTALS - WALKUP APARTMENTS,11220.0,94.0,6.0,2362.0,4980.0,6.0,0.0
Brooklyn,02 TWO FAMILY DWELLINGS,11211.0,124.0,2.0,2500.0,1700.0,2.0,0.0
Staten Island,01 ONE FAMILY DWELLINGS,10312.0,55.0,1.0,4240.0,1920.0,1.0,0.0
Queens,01 ONE FAMILY DWELLINGS,11361.0,95.0,1.0,4200.0,2016.0,1.0,0.0
Manhattan,02 TWO FAMILY DWELLINGS,10014.0,126.0,2.0,1938.0,3312.0,2.0,0.0
Brooklyn,07 RENTALS - WALKUP APARTMENTS,11204.0,99.0,4.0,2667.0,3600.0,4.0,0.0
Queens,01 ONE FAMILY DWELLINGS,11413.0,90.0,1.0,3200.0,1667.0,1.0,0.0
Staten Island,02 TWO FAMILY DWELLINGS,10312.0,13.0,2.0,5000.0,2428.0,2.0,0.0
Brooklyn,03 THREE FAMILY DWELLINGS,11230.0,95.0,3.0,2500.0,2832.0,3.0,0.0
Staten Island,05 TAX CLASS 1 VACANT LAND,10305.0,,,675.0,,0.0,0.0
Brooklyn,03 THREE FAMILY DWELLINGS,11220.0,85.0,3.0,2005.0,3200.0,3.0,0.0
Staten Island,01 ONE FAMILY DWELLINGS,10310.0,110.0,1.0,3700.0,1631.0,1.0,0.0
Brooklyn,01 ONE FAMILY DWELLINGS,11234.0,65.0,1.0,4808.0,1493.0,1.0,0.0
Queens,01 ONE FAMILY DWELLINGS,11361.0,115.0,1.0,5000.0,1348.0,1.0,0.0
Brooklyn,02 TWO FAMILY DWELLINGS,11219.0,120.0,2.0,2003.0,3336.0,2.0,0.0
Queens,02 TWO FAMILY DWELLINGS,11105.0,95.0,2.0,1260.0,1728.0,2.0,0.0
Queens,07 RENTALS - WALKUP APARTMENTS,11420.0,98.0,5.0,2000.0,2880.0,5.0,0.0
Bronx,03 THREE FAMILY DWELLINGS,10456.0,126.0,3.0,1655.0,3192.0,3.0,0.0
Brooklyn,02 TWO FAMILY DWELLINGS,11204.0,60.0,2.0,3005.0,2854.0,2.0,0.0
Staten Island,01 ONE FAMILY DWELLINGS,10304.0,65.0,1.0,2600.0,1410.0,1.0,0.0
Queens,01 ONE FAMILY DWELLINGS,11364.0,70.0,1.0,4000.0,1334.0,1.0,0.0
Bronx,01 ONE FAMILY DWELLINGS,10456.0,38.0,1.0,1705.0,1599.0,1.0,0.0
Queens,29 COMMERCIAL GARAGES,11361.0,,,5000.0,,0.0,0.0
Staten Island,01 ONE FAMILY DWELLINGS,10306.0,60.0,1.0,4000.0,1032.0,1.0,0.0
Bronx,01 ONE FAMILY DWELLINGS,10469.0,85.0,1.0,2500.0,2035.0,1.0,0.0
Brooklyn,02 TWO FAMILY DWELLINGS,11223.0,95.0,2.0,2700.0,2720.0,2.0,0.0
Queens,01 ONE FAMILY DWELLINGS,11004.0,80.0,1.0,10000.0,1460.0,1.0,0.0
Brooklyn,02 TWO FAMILY DWELLINGS,11230.0,100.0,2.0,3220.0,2121.0,2.0,0.0
Brooklyn,03 THREE FAMILY DWELLINGS,11219.0,29.0,3.0,2003.0,4800.0,3.0,0.0
Brooklyn,31 COMMERCIAL VACANT LAND,11216.0,,,1192.0,,0.0,0.0
Queens,01 ONE FAMILY DWELLINGS,11433.0,65.0,1.0,4000.0,1575.0,1.0,0.0
Brooklyn,01 ONE FAMILY DWELLINGS,11225.0,100.0,1.0,2217.0,1425.0,1.0,0.0
Queens,02 TWO FAMILY DWELLINGS,11421.0,95.0,2.0,2900.0,1805.0,2.0,0.0
Brooklyn,02 TWO FAMILY DWELLINGS,11219.0,95.0,3.0,1640.0,3060.0,2.0,1.0
Queens,01 ONE FAMILY DWELLINGS,11421.0,105.0,1.0,1600.0,1308.0,1.0,0.0
Queens,01 ONE FAMILY DWELLINGS,11412.0,85.0,1.0,4000.0,1248.0,1.0,0.0
Queens,02 TWO FAMILY DWELLINGS,11105.0,105.0,3.0,1933.0,1444.0,2.0,1.0
Staten Island,01 ONE FAMILY DWELLINGS,10312.0,70.0,1.0,5850.0,2568.0,1.0,0.0
Brooklyn,02 TWO FAMILY DWELLINGS,11221.0,126.0,2.0,1360.0,2520.0,2.0,0.0
Queens,01 ONE FAMILY DWELLINGS,11416.0,100.0,1.0,2500.0,1368.0,1.0,0.0
Staten Island,01 ONE FAMILY DWELLINGS,10306.0,35.0,1.0,1080.0,1080.0,1.0,0.0
Queens,01 ONE FAMILY DWELLINGS,11412.0,90.0,1.0,4000.0,1785.0,1.0,0.0
Queens,03 THREE FAMILY DWELLINGS,11385.0,124.0,3.0,2017.0,3572.0,3.0,0.0
Brooklyn,02 TWO FAMILY DWELLINGS,11231.0,126.0,2.0,1600.0,2400.0,2.0,0.0
Queens,02 TWO FAMILY DWELLINGS,11104.0,105.0,2.0,1988.0,1200.0,2.0,0.0
Queens,01 ONE FAMILY DWELLINGS,11004.0,75.0,1.0,3100.0,800.0,1.0,0.0
Queens,22 STORE BUILDINGS,11433.0,94.0,1.0,3254.0,3200.0,0.0,1.0
Brooklyn,02 TWO FAMILY DWELLINGS,11206.0,115.0,2.0,1875.0,2250.0,2.0,0.0
Brooklyn,21 OFFICE BUILDINGS,11234.0,44.0,1.0,4000.0,4750.0,0.0,1.0
Staten Island,01 ONE FAMILY DWELLINGS,10310.0,100.0,1.0,2914.0,1304.0,1.0,0.0
Brooklyn,08 RENTALS - ELEVATOR APARTMENTS,11215.0,10.0,107.0,14076.0,92722.0,105.0,2.0
Manhattan,07 RENTALS - WALKUP APARTMENTS,10128.0,115.0,17.0,2517.0,8935.0,16.0,1.0
Queens,02 TWO FAMILY DWELLINGS,11420.0,90.0,2.0,3887.0,2316.0,2.0,0.0
Bronx,02 TWO FAMILY DWELLINGS,10457.0,30.0,2.0,3197.0,2136.0,2.0,0.0
Bronx,01 ONE FAMILY DWELLINGS,10473.0,95.0,1.0,1420.0,700.0,1.0,0.0
Brooklyn,02 TWO FAMILY DWELLINGS,11207.0,115.0,2.0,1400.0,2364.0,2.0,0.0
Queens,02 TWO FAMILY DWELLINGS,11358.0,100.0,2.0,6000.0,3180.0,2.0,0.0
Brooklyn,27 FACTORIES,11222.0,85.0,2.0,7100.0,6600.0,0.0,2.0
Bronx,29 COMMERCIAL GARAGES,10455.0,,,7500.0,,0.0,0.0
Queens,27 FACTORIES,11378.0,65.0,2.0,16300.0,15000.0,0.0,2.0
Queens,02 TWO FAMILY DWELLINGS,11040.0,55.0,2.0,4000.0,2184.0,2.0,0.0
Queens,05 TAX CLASS 1 VACANT LAND,11420.0,,,4000.0,,0.0,0.0
Queens,01 ONE FAMILY DWELLINGS,11357.0,70.0,1.0,3560.0,1404.0,1.0,0.0
Brooklyn,01 ONE FAMILY DWELLINGS,11234.0,100.0,1.0,1800.0,1008.0,1.0,0.0
Brooklyn,22 STORE BUILDINGS,11214.0,94.0,4.0,3771.0,3762.0,2.0,2.0
Bronx,07 RENTALS - WALKUP APARTMENTS,10456.0,116.0,12.0,3220.0,11345.0,12.0,0.0
Brooklyn,01 ONE FAMILY DWELLINGS,11228.0,110.0,1.0,3090.0,1280.0,1.0,0.0
Staten Island,02 TWO FAMILY DWELLINGS,10305.0,25.0,2.0,1980.0,1762.0,2.0,0.0
Queens,01 ONE FAMILY DWELLINGS,11413.0,105.0,1.0,4000.0,1148.0,1.0,0.0
Bronx,01 ONE FAMILY DWELLINGS,10466.0,100.0,1.0,2160.0,1636.0,1.0,0.0
Brooklyn,03 THREE FAMILY DWELLINGS,11235.0,100.0,3.0,2750.0,2544.0,3.0,0.0
Queens,01 ONE FAMILY DWELLINGS,11378.0,85.0,1.0,2800.0,1584.0,1.0,0.0
Manhattan,31 COMMERCIAL VACANT LAND,10032.0,,,1875.0,,0.0,0.0
Brooklyn,02 TWO FAMILY DWELLINGS,11211.0,126.0,2.0,1865.0,2618.0,2.0,0.0
Brooklyn,01 ONE FAMILY DWELLINGS,11212.0,38.0,1.0,1800.0,1148.0,1.0,0.0
Staten Island,01 ONE FAMILY DWELLINGS,10306.0,50.0,1.0,2000.0,2736.0,1.0,0.0
Queens,01 ONE FAMILY DWELLINGS,11375.0,85.0,1.0,2000.0,1680.0,1.0,0.0
Staten Island,01 ONE FAMILY DWELLINGS,10314.0,29.0,1.0,2100.0,1200.0,1.0,0.0
Staten Island,01 ONE FAMILY DWELLINGS,10301.0,105.0,1.0,5400.0,1424.0,1.0,0.0
Brooklyn,02 TWO FAMILY DWELLINGS,11216.0,126.0,2.0,2000.0,4000.0,2.0,0.0
Brooklyn,02 TWO FAMILY DWELLINGS,11201.0,196.0,2.0,2525.0,4540.0,2.0,0.0
Queens,21 OFFICE BUILDINGS,11004.0,75.0,1.0,6800.0,1066.0,0.0,1.0
Staten Island,02 TWO FAMILY DWELLINGS,10305.0,55.0,2.0,4704.0,2187.0,2.0,0.0
Queens,01 ONE FAMILY DWELLINGS,11415.0,105.0,1.0,6500.0,3189.0,1.0,0.0
Staten Island,01 ONE FAMILY DWELLINGS,10314.0,65.0,1.0,2438.0,1116.0,1.0,0.0
Queens,01 ONE FAMILY DWELLINGS,11355.0,100.0,1.0,3923.0,1560.0,1.0,0.0
Manhattan,03 THREE FAMILY DWELLINGS,10024.0,126.0,3.0,1737.0,5180.0,3.0,0.0
Brooklyn,01 ONE FAMILY DWELLINGS,11234.0,70.0,1.0,2000.0,1600.0,1.0,0.0
Staten Island,02 TWO FAMILY DWELLINGS,10312.0,50.0,2.0,4000.0,2184.0,2.0,0.0
Queens,01 ONE FAMILY DWELLINGS,11417.0,75.0,1.0,2000.0,860.0,1.0,0.0
Staten Island,01 ONE FAMILY DWELLINGS,10301.0,32.0,1.0,1539.0,1080.0,1.0,0.0
Bronx,08 RENTALS - ELEVATOR APARTMENTS,10467.0,100.0,55.0,24435.0,58001.0,54.0,1.0
Manhattan,22 STORE BUILDINGS,10034.0,102.0,6.0,5000.0,5000.0,0.0,6.0
Manhattan,07 RENTALS - WALKUP APARTMENTS,10030.0,105.0,4.0,1898.0,4172.0,4.0,0.0
Brooklyn,01 ONE FAMILY DWELLINGS,11234.0,105.0,1.0,3887.0,1304.0,1.0,0.0
Staten Island,01 ONE FAMILY DWELLINGS,10306.0,75.0,1.0,5700.0,928.0,1.0,0.0
Queens,07 RENTALS - WALKUP APARTMENTS,11385.0,95.0,6.0,2742.0,5610.0,6.0,0.0
Manhattan,07 RENTALS - WALKUP APARTMENTS,10024.0,125.0,9.0,1812.0,4822.0,9.0,0.0
Staten Island,01 ONE FAMILY DWELLINGS,10305.0,85.0,1.0,1623.0,2344.0,1.0,0.0
Bronx,02 TWO FAMILY DWELLINGS,10469.0,105.0,2.0,2317.0,3056.0,2.0,0.0
Bronx,02 TWO FAMILY DWELLINGS,10472.0,95.0,2.0,2500.0,2544.0,2.0,0.0
Brooklyn,01 ONE FAMILY DWELLINGS,11236.0,65.0,1.0,2300.0,1125.0,1.0,0.0
Bronx,03 THREE FAMILY DWELLINGS,10463.0,95.0,3.0,3134.0,1440.0,3.0,0.0
Staten Island,01 ONE FAMILY DWELLINGS,10308.0,55.0,1.0,3000.0,1600.0,1.0,0.0
Bronx,03 THREE FAMILY DWELLINGS,10463.0,100.0,3.0,2500.0,3350.0,3.0,0.0
Brooklyn,02 TWO FAMILY DWELLINGS,11223.0,100.0,2.0,2050.0,1656.0,2.0,0.0
Queens,29 COMMERCIAL GARAGES,11428.0,100.0,2.0,7000.0,4500.0,0.0,2.0
Staten Island,01 ONE FAMILY DWELLINGS,10306.0,80.0,1.0,5162.0,480.0,1.0,0.0
Queens,01 ONE FAMILY DWELLINGS,11366.0,85.0,1.0,2400.0,1296.0,1.0,0.0
Staten Island,02 TWO FAMILY DWELLINGS,10312.0,44.0,2.0,3000.0,2160.0,2.0,0.0
Queens,01 ONE FAMILY DWELLINGS,11422.0,70.0,1.0,3920.0,1119.0,1.0,0.0
Queens,01 ONE FAMILY DWELLINGS,11434.0,105.0,1.0,3000.0,1260.0,1.0,0.0
Brooklyn,03 THREE FAMILY DWELLINGS,11213.0,115.0,3.0,1600.0,2520.0,3.0,0.0
Brooklyn,03 THREE FAMILY DWELLINGS,11203.0,105.0,3.0,3000.0,2332.0,3.0,0.0
Brooklyn,01 ONE FAMILY DWELLINGS,11210.0,100.0,1.0,1600.0,1092.0,1.0,0.0
Brooklyn,03 THREE FAMILY DWELLINGS,11236.0,60.0,3.0,3150.0,3265.0,3.0,0.0
Queens,02 TWO FAMILY DWELLINGS,11370.0,95.0,2.0,2000.0,2080.0,2.0,0.0
Queens,02 TWO FAMILY DWELLINGS,11367.0,70.0,2.0,2000.0,2160.0,2.0,0.0
Staten Island,02 TWO FAMILY DWELLINGS,10305.0,17.0,2.0,3500.0,2520.0,2.0,0.0
Staten Island,01 ONE FAMILY DWELLINGS,10306.0,75.0,1.0,4000.0,935.0,1.0,0.0
Queens,02 TWO FAMILY DWELLINGS,11419.0,85.0,2.0,2615.0,2411.0,2.0,0.0
Queens,01 ONE FAMILY DWELLINGS,11411.0,105.0,1.0,3000.0,1720.0,1.0,0.0
Brooklyn,03 THREE FAMILY DWELLINGS,11214.0,110.0,3.0,3287.0,2490.0,3.0,0.0
Queens,01 ONE FAMILY DWELLINGS,11364.0,75.0,1.0,4000.0,1440.0,1.0,0.0
Queens,01 ONE FAMILY DWELLINGS,11385.0,75.0,1.0,2500.0,1448.0,1.0,0.0
Brooklyn,02 TWO FAMILY DWELLINGS,11223.0,105.0,2.0,3580.0,1852.0,2.0,0.0
Queens,01 ONE FAMILY DWELLINGS,11369.0,95.0,1.0,1600.0,1320.0,1.0,0.0
Queens,01 ONE FAMILY DWELLINGS,11426.0,75.0,1.0,4000.0,1985.0,1.0,0.0
Queens,02 TWO FAMILY DWELLINGS,11433.0,105.0,2.0,2000.0,1264.0,2.0,0.0
Bronx,03 THREE FAMILY DWELLINGS,10466.0,124.0,3.0,2856.0,3688.0,3.0,0.0
Queens,01 ONE FAMILY DWELLINGS,11361.0,80.0,1.0,9352.0,4773.0,1.0,0.0
Brooklyn,01 ONE FAMILY DWELLINGS,11223.0,65.0,1.0,2181.0,1276.0,1.0,0.0
Queens,01 ONE FAMILY DWELLINGS,11364.0,65.0,1.0,4370.0,3231.0,1.0,0.0
Queens,03 THREE FAMILY DWELLINGS,11105.0,95.0,3.0,2000.0,2220.0,3.0,0.0
Queens,01 ONE FAMILY DWELLINGS,11427.0,0.0,1.0,4000.0,3482.0,1.0,0.0
Brooklyn,05 TAX CLASS 1 VACANT LAND,11229.0,,,875.0,,0.0,0.0
Brooklyn,02 TWO FAMILY DWELLINGS,11215.0,124.0,2.0,2000.0,1996.0,2.0,0.0
Brooklyn,02 TWO FAMILY DWELLINGS,11212.0,95.0,2.0,2483.0,3360.0,2.0,0.0
Staten Island,01 ONE FAMILY DWELLINGS,10312.0,45.0,1.0,2660.0,1368.0,1.0,0.0
Queens,02 TWO FAMILY DWELLINGS,11435.0,60.0,2.0,4800.0,4117.0,2.0,0.0
Queens,01 ONE FAMILY DWELLINGS,11436.0,100.0,1.0,1400.0,868.0,1.0,0.0
Brooklyn,02 TWO FAMILY DWELLINGS,11207.0,124.0,2.0,2000.0,2760.0,2.0,0.0
Bronx,03 THREE FAMILY DWELLINGS,10466.0,70.0,3.0,2817.0,2700.0,3.0,0.0
Brooklyn,02 TWO FAMILY DWELLINGS,11216.0,124.0,2.0,1667.0,2576.0,2.0,0.0
Queens,02 TWO FAMILY DWELLINGS,11361.0,124.0,2.0,3690.0,1842.0,2.0,0.0
Brooklyn,03 THREE FAMILY DWELLINGS,11233.0,126.0,3.0,1950.0,2700.0,3.0,0.0
Staten Island,01 ONE FAMILY DWELLINGS,10314.0,95.0,1.0,3000.0,1205.0,1.0,0.0
Queens,02 TWO FAMILY DWELLINGS,11354.0,3.0,2.0,2656.0,2390.0,2.0,0.0
Queens,01 ONE FAMILY DWELLINGS,11377.0,100.0,1.0,3500.0,1870.0,1.0,0.0
Queens,14 RENTALS - 4-10 UNIT,11385.0,105.0,4.0,1853.0,5140.0,2.0,2.0
Queens,01 ONE FAMILY DWELLINGS,11358.0,115.0,1.0,8000.0,3048.0,1.0,0.0
Bronx,31 COMMERCIAL VACANT LAND,10459.0,,,3150.0,,0.0,0.0
Staten Island,05 TAX CLASS 1 VACANT LAND,10310.0,,,1000.0,,0.0,0.0
Brooklyn,07 RENTALS - WALKUP APARTMENTS,11220.0,114.0,6.0,2048.0,5100.0,6.0,0.0
Brooklyn,02 TWO FAMILY DWELLINGS,11236.0,70.0,2.0,2000.0,1835.0,2.0,0.0
Queens,01 ONE FAMILY DWELLINGS,11422.0,95.0,1.0,15360.0,1607.0,1.0,0.0
Queens,05 TAX CLASS 1 VACANT LAND,11693.0,,,5000.0,,0.0,0.0
Brooklyn,02 TWO FAMILY DWELLINGS,11225.0,105.0,2.0,2050.0,3360.0,2.0,0.0
Staten Island,01 ONE FAMILY DWELLINGS,10314.0,70.0,1.0,2960.0,1225.0,1.0,0.0
Bronx,07 RENTALS - WALKUP APARTMENTS,10454.0,94.0,9.0,1875.0,9340.0,7.0,2.0
Queens,02 TWO FAMILY DWELLINGS,11418.0,37.0,3.0,2500.0,5000.0,2.0,1.0
Queens,08 RENTALS - ELEVATOR APARTMENTS,11374.0,84.0,98.0,26000.0,104778.0,98.0,0.0
Brooklyn,01 ONE FAMILY DWELLINGS,11229.0,100.0,1.0,2000.0,1464.0,1.0,0.0
Queens,01 ONE FAMILY DWELLINGS,11423.0,95.0,1.0,7450.0,1568.0,1.0,0.0
Brooklyn,02 TWO FAMILY DWELLINGS,11203.0,80.0,2.0,2867.0,1920.0,2.0,0.0
Brooklyn,01 ONE FAMILY DWELLINGS,11224.0,25.0,1.0,1600.0,1794.0,1.0,0.0
Staten Island,01 ONE FAMILY DWELLINGS,10314.0,120.0,1.0,11350.0,1250.0,1.0,0.0
Staten Island,02 TWO FAMILY DWELLINGS,10304.0,110.0,2.0,4495.0,2400.0,2.0,0.0
Bronx,08 RENTALS - ELEVATOR APARTMENTS,10458.0,93.0,42.0,11000.0,47145.0,42.0,0.0
Bronx,02 TWO FAMILY DWELLINGS,10469.0,65.0,2.0,2808.0,1920.0,2.0,0.0
Brooklyn,06 TAX CLASS 1 - OTHER,11207.0,94.0,1.0,2517.0,,1.0,0.0
Brooklyn,01 ONE FAMILY DWELLINGS,11236.0,60.0,1.0,1800.0,1332.0,1.0,0.0
Staten Island,01 ONE FAMILY DWELLINGS,10306.0,50.0,1.0,2360.0,1536.0,1.0,0.0
Queens,03 THREE FAMILY DWELLINGS,11694.0,96.0,3.0,6000.0,3400.0,3.0,0.0
Bronx,01 ONE FAMILY DWELLINGS,10466.0,65.0,1.0,1800.0,1224.0,1.0,0.0
Bronx,14 RENTALS - 4-10 UNIT,10471.0,100.0,6.0,1900.0,5104.0,5.0,1.0
Brooklyn,01 ONE FAMILY DWELLINGS,11203.0,100.0,1.0,2000.0,1248.0,1.0,0.0
Manhattan,29 COMMERCIAL GARAGES,10036.0,85.0,2.0,2712.0,5400.0,0.0,2.0
Brooklyn,01 ONE FAMILY DWELLINGS,11210.0,100.0,1.0,4000.0,1470.0,1.0,0.0
Bronx,01 ONE FAMILY DWELLINGS,10465.0,75.0,1.0,3100.0,1296.0,1.0,0.0
Staten Island,01 ONE FAMILY DWELLINGS,10314.0,1.0,1.0,2000.0,1890.0,1.0,0.0
Queens,01 ONE FAMILY DWELLINGS,11004.0,80.0,1.0,4140.0,913.0,1.0,0.0
Staten Island,02 TWO FAMILY DWELLINGS,10308.0,65.0,2.0,4200.0,1776.0,2.0,0.0
Queens,02 TWO FAMILY DWELLINGS,11360.0,55.0,2.0,3200.0,3200.0,2.0,0.0
Queens,02 TWO FAMILY DWELLINGS,11355.0,95.0,2.0,4650.0,3073.0,2.0,0.0
Queens,01 ONE FAMILY DWELLINGS,11411.0,75.0,1.0,5000.0,1360.0,1.0,0.0
Queens,01 ONE FAMILY DWELLINGS,11693.0,105.0,1.0,2500.0,2080.0,1.0,0.0
